problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
48,48,6,5027.594522087268,6768.523919411695,4319.979643899707,2778.287944557962,4255.555818297855,3449.7644706713695,1.346274821821084,0.8592537892467538,1.531718779053671,1.2416871611269373
49,49,5,3883.1101517417724,4365.070029189331,3162.7076763784544,2006.2972497660219,2750.7872292427396,2238.561474467864,1.1241169728938478,0.8144779706956855,1.3710766086947193,1.1157676035935997
50,50,13,21545.868298450056,19456.752501797313,14490.84860926549,11339.062129266245,12265.89555585785,10416.255543869469,0.9030386815831866,0.6725581168760749,1.0817381028541537,0.9186170271512136
51,51,7,2444.5097988375,2306.068145236621,1896.5545959169679,1018.6866711462601,1496.565094893767,1340.2567933974908,0.9433662922248397,0.7758425009459503,1.4691122768984326,1.3156712769093064
52,52,9,5008.3076226306275,5383.68209203916,4002.916752441638,2540.714520010727,3453.018868291356,3168.4335748504996,1.0749503620169734,0.7992553680916059,1.3590739302252568,1.2470639853064336
53,53,20,4735.7788678518555,5558.06976441736,3906.5631384307617,2192.737030500181,3606.978390802865,2871.040009303767,1.1736337188688235,0.8249040437571729,1.644966241109215,1.30934077792669
54,54,5,5993.711450788635,6342.611262237963,4126.665910957092,3307.110960354196,4020.804773600966,3479.6864541769028,1.0582109790092449,0.6884992620747729,1.2158058262340048,1.0521831580166345
55,55,5,16843.4358838974,19955.609834203147,16425.054907798767,8806.674820913218,12219.649544541326,11096.149472117424,1.184770730375804,0.9751605919966357,1.3875440836674602,1.2599703858449944
56,56,49,17305.895821100283,23283.092715168914,14469.0212326054,8741.01045846641,15067.860275533656,11122.872970562817,1.34538500380783,0.836074675485102,1.723812177908923,1.2724928111474083
57,57,4,4286.812925755676,6875.846656846656,4259.712934494019,2647.738539271964,4258.001430438593,3395.675712823868,1.6039530476209403,0.9936782892720051,1.6081653710450563,1.282481507315885
58,58,3,5356.701777709046,6613.969476773486,4502.363024364318,2857.116789608679,4125.345983111082,3170.4128794670105,1.2347092952413992,0.8405103011521184,1.4438842675647516,1.1096546318994687
