problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
127,127,7,2266.5809607725464,4408.720996598852,2612.3352182416133,1462.8763319872255,2792.5709306445865,2227.2267013788223,1.9450975159943875,1.1525444109224403,1.9089589937182554,1.522498281418823
128,128,12,1484.1040808688235,2340.387076214307,1723.5529159396242,802.7660467183382,1518.7858919558848,1254.0512054762821,1.5769696387090308,1.161342346643655,1.8919408689051995,1.5621627379518253
129,129,8,5169.9182860887195,7405.9680005468745,6050.075433159032,2898.533549720737,4765.15982391089,4685.104875046884,1.4325116163779503,1.1702458527127306,1.6439898804586877,1.6163707594477479
130,130,6,38278.71342596491,41821.029126957175,38508.80878662775,22813.27312371347,26972.852261989996,28356.496266901493,1.0925400930165399,1.0060110526208743,1.1823315363700624,1.2429823687783788
131,131,9,1722.548412453247,2652.042446015772,2120.8184650319827,885.1252809204532,1721.0815328978358,1506.6173947772413,1.5396040116159888,1.2312097876027304,1.944449638934797,1.7021515792775577
132,132,9,2139.1063171686283,3449.6943049464844,2638.128698394873,1101.8899881219766,2238.757573475069,1892.6078386306763,1.612680153977845,1.2332854506674369,2.03174327528897,1.7176014475423014
133,133,11,4749.089662416711,8718.051767717701,5169.737396419396,3019.3619449900816,5489.986372407455,4215.772233605385,1.8357311374241922,1.0885743929687413,1.8182604379434506,1.3962460647026647
134,134,6,2433.674972991919,3274.441222126416,2842.116387332129,1162.7529735975206,2125.049631588844,1959.5220413941895,1.3454718721542644,1.1678290728519425,1.8276019755202244,1.685243629462835
135,135,13,4988.57284751604,6852.267514891846,5564.016241599219,2428.8591605109964,4446.985752396808,3883.9906774789392,1.373592753747957,1.1153523085003578,1.8308948598984336,1.5991008209227762
136,136,22,45058.527431342656,50683.55847866633,41385.933512526615,27008.661498382706,32542.989372043477,33256.839957300326,1.1248383240196818,0.9184928108355936,1.2049093722764517,1.2313398040584782
137,137,19,3856.135783863746,6435.03401015393,4367.574164835059,2219.818548503921,4141.445742187314,3302.2320532325984,1.6687778571184535,1.1326297645200827,1.865668590335233,1.4876135058237916
138,138,4,5691.610627862744,8131.990263574366,5540.3721951906255,3465.022389671225,5119.1108663019495,4263.663799285889,1.4287678471476901,0.9734278321971386,1.4773673271380134,1.2304866519752682
139,139,5,2080.876865074878,2816.405947371753,2310.8171753867678,1062.4154389086307,1812.8718540848345,1652.5074394527594,1.353470738534261,1.110501641962181,1.7063681378229145,1.555424910946609
140,140,7,3610.890054183252,6515.812190629638,3754.5775298729495,2359.12018521161,4077.321876250067,3139.4842185627,1.8044892236696617,1.0397928138308266,1.728323084940387,1.330786043984907
141,141,11,1637.309679557373,2695.797103907202,2015.8091865977783,869.9200150512149,1749.457425034174,1462.9362592650493,1.6464796718455719,1.2311716053268114,2.011055493338865,1.681690539306561
142,142,5,2383.6257046169185,3309.5140487242425,2442.650660937109,1396.3469001427777,2064.4847350107757,1772.3003468018192,1.3884369690736016,1.0247626782199333,1.4784898615091138,1.2692407213569923
143,143,24,14254.77426620482,20255.59189140642,12399.168417662633,7957.348314644052,12970.295466407386,9611.247296440484,1.4209689689319263,0.86982565883618,1.6299770920594134,1.2078454927947206
144,144,16,25089.385036923883,29419.839992916433,25173.773893976497,14854.383614728024,18917.263250537737,17382.27524478279,1.172601080083049,1.0033635283179887,1.2735138489207587,1.1701781572106689
145,145,9,2155.3679402159305,3038.823877702075,2223.1826661589234,1168.3399966548857,1959.4025812464067,1636.2666574984678,1.4098863683560394,1.0314631783639683,1.677082516096718,1.4005055567585796
146,146,7,12796.739129046859,15949.235130452687,12252.262891659775,7515.030930296014,10042.842366858518,8912.997675975164,1.2463515095224604,0.9574519546037165,1.3363674028768016,1.1860227534185392
147,147,5,2432.6903713517822,3526.9838921544674,2635.530395237891,1367.2372752799351,2233.789396102321,1954.1960043720067,1.4498285247023093,1.0833809457524164,1.633797905081957,1.4293027550553685
148,148,12,8555.748068336328,12434.161194016478,8773.74800727981,5089.669953578333,7929.120829948505,7110.0295527321705,1.4533108145193796,1.0254799390073523,1.5578850696151474,1.396952968970691
149,149,5,1532.5746670279052,2645.735050014795,1663.5741229861328,962.1327487126445,1666.3075127668849,1364.92941904068,1.72633353985005,1.0854767201732967,1.7318894040312445,1.418649787014304
